year,fisher_type,chinook,coho,chum,pink,sockeye,steelhead,jacks,unknown,total_by_fish
1985,Non-Treaty,146866,632775,622704,2104075,1383341,1,,,4889762
1985,Treaty,232014,857616,559907,2179933,1609416,56087,,,5494973
1986,Sport,231823,553203,1830,45,137,171827,38709,4897,1002471
1986,Non-Treaty,183573,990810,612983,32,1394797,1,,,3182196
1986,Treaty,237629,1066741,671261,114,1360916,129568,,,3466229
1987,Sport,232662,455431,3895,51076,698,127116,27288,11784,909950
1987,Non-Treaty,234150,847145,698690,966050,982166,1,,,3728202
1987,Treaty,297423,1292107,737751,1122304,1023169,129565,,,4602319
1988,Sport,187763,404100,2838,93,71489,119155,24287,11185,820910
1988,Non-Treaty,258656,620337,943639,74,356209,1,,,2178916
1988,Treaty,334603,896837,904012,68,543379,136544,,,2815443
1989,Sport,205998,516376,7767,83938,398,112836,17296,187,944796
1989,Non-Treaty,169991,639767,391769,1620553,1127797,1,,,3949878
1989,Treaty,366639,748779,528126,1851954,1129138,82984,,,4707620
1990,Sport,200987,574419,5550,312,7363,85507,35492,48,909678
1990,Non-Treaty,130838,558233,532930,145,982466,,,,2204612
1990,Treaty,310958,812283,577487,304,1193777,63749,,,2958558
1991,Sport,152089,662336,10254,63388,6791,122768,20345,113,1038084
1991,Non-Treaty,101238,533275,524818,1622035,983569,,,,3764935
1991,Treaty,207690,608956,569733,1713309,853933,57486,,,4011107
1992,Sport,155500,369656,19141,452,4019,153655,24259,75,726757
1992,Non-Treaty,113360,145171,722207,86,316125,,,,1296949
1992,Treaty,164118,402031,794400,123,304446,85321,,,1750439
1993,Sport,149002,324148,16773,104626,7525,106611,19016,91,727792
1993,Non-Treaty,89834,75378,600781,977726,1328472,83,,,3072274
1993,Treaty,122507,253615,556632,1120627,1399817,44519,,,3497717
1994,Sport,71801,51714,20124,13,256,116089,12667,250,272914
1994,Non-Treaty,47608,38612,561897,30,880632,6,,,1528785
1994,Treaty,110627,457513,804961,216,961112,40759,,,2375188
1995,Sport,100474,177171,13527,215660,341,94539,16970,89,618771
1995,Non-Treaty,37173,93102,377814,1397924,170746,,,,2076759
1995,Treaty,124573,372029,387998,1345657,244363,47266,,,2521886
1996,Sport,107320,173612,26658,57,70487,97856,12243,1877,490110
1996,Non-Treaty,49858,87008,532587,2,50474,2,,,719931
1996,Treaty,155520,264743,267907,60,288045,53420,,,1029695
1997,Sport,108786,208880,12351,53263,317,69028,10395,194,463214
1997,Non-Treaty,44795,13849,229306,869350,690236,,,,1847536
1997,Treaty,153764,159101,190161,1008482,681430,48601,,,2241539
1998,Sport,61181,138091,18939,204,136,58672,16780,138,294141
1998,Non-Treaty,26564,26565,515076,352,229313,,,,797870
1998,Treaty,98758,192420,327036,515,311884,43439,,,974052
1999,Sport,77468,106447,7654,37291,166,77983,10226,61,317296
1999,Non-Treaty,29215,48397,134672,1164,37,,,,213485
1999,Treaty,156180,196532,121384,52661,20707,28461,,,575925
2000,Sport,84309,223524,8355,100,63085,105543,21530,277,506723
2000,Non-Treaty,35783,109855,147471,11,230412,,,,523532
2000,Treaty,115280,455935,161284,350,320760,33761,,,1087370
2001,Sport,157263,616272,20442,242325,3791,191789,15958,344,1248184
2001,Non-Treaty,56923,181250,847858,463198,85931,3,,,1635163
2001,Treaty,234692,512722,779570,320982,172390,54735,,,2075091
2002,Sport,190883,282812,25805,341,36908,141141,12946,1784,692620
2002,Non-Treaty,97293,146052,1153879,7,141465,,,,1538696
2002,Treaty,257220,394170,850708,328,356974,34509,,,1893909
2003,Sport,166762,350417,13193,266622,965,129511,11975,719,940164
2003,Non-Treaty,97430,190835,805272,683667,90622,1,,,1867827
2003,Treaty,226535,317721,795907,557288,220949,33048,,,2151448
2004,Sport,138725,274317,15666,1154,34827,135355,10175,64,610283
2004,Non-Treaty,68478,114653,1209071,4,81114,,,,1473320
2004,Treaty,216594,663358,947885,726,150258,38025,,,2016846
2005,Sport,130507,176868,9847,127389,486,92730,6282,32,544141
2005,Non-Treaty,64855,93670,400076,144619,65934,,,,769154
2005,Treaty,228301,440380,357052,243515,143490,32884,,,1445622
2006,Sport,112744,95975,13562,19,60130,108761,6285,,397475
2006,Non-Treaty,58366,51502,885879,6,223940,,,,1219693
2006,Treaty,210227,342089,782351,395,545574,39066,,,1919702
2007,Sport,122645,215672,14406,177995,342,102473,14677,,648210
2007,Non-Treaty,33529,46749,680893,200872,6266,,,,968309
2007,Treaty,187699,297073,809921,317272,7726,43950,,,1663641
2008,Sport,108587,101223,17230,40,5589,88533,17815,,339016
2008,Non-Treaty,32852,51464,452912,21,16387,,,,553636
2008,Treaty,208195,340656,576248,682,49531,37279,,,1212591
2009,Sport,124123,349154,12960,557659,7774,170758,23268,,1245696
2009,Non-Treaty,42056,147000,299647,2790066,1728,,,,3280497
2009,Treaty,187137,509776,360616,1938804,13211,43739,,,3053283
2010,Sport,170748,118097,13020,29,22242,125226,11795,,461157
2010,Non-Treaty,85148,77076,417919,311,749718,,,,1330172
2010,Treaty,285773,323787,542258,2486,1241798,48757,,,2444859
2011,Sport,182491,193243,16485,469653,12600,150697,32403,,1057572
2011,Non-Treaty,86262,99625,465928,2268542,86917,,,,3007274
2011,Treaty,286635,381569,625073,2277849,217702,49067,,,3837895
2012,Sport,,,,,,,,,
2012,Non-Treaty,82021,80041,587755,420,41253,,,,791490
2012,Treaty,272792,466411,586470,1052,141734,34260,,,1502719
